Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
CADERNOS GESTAO PUBLICA E CIDADANIA,CAD GEST PUBLICA CID,BRAZIL,,,,X
CADERNOS DE HISTORIA,CAD HIST,BRAZIL,,,,X
CADERNOS DE LETRAS DA UFF,CAD LET UFF,BRAZIL,,,,X
CADERNO PROFISSIONAL DE MARKETING UNIMEP,CAD PROFISSIONAL MAR,BRAZIL,,,,X
CADERNOS DE SAUDE PUBLICA,CAD SAUDE PUBLICA,BRAZIL,X,X,,
CADERNOS DE TRADUCAO,CAD TRADUCAO,BRAZIL,,,,X
CADMO,CADMO,ITALY,,X,,
CAHIERS AGRICULTURES,CAH AGRIC,FRANCE,X,,,
CAHIERS DES AMERIQUES LATINES,CAH AM LAT,FRANCE,,,,X
CAHIERS DE BIOLOGIE MARINE,CAH BIOL MAR,FRANCE,X,,,
CAHIERS DE CIVILISATION ESPAGNOLE CONTEMPORAINE-DE 1808 AU TEMPS PRESENT,CAH CIVILIS ESP CON,FRANCE,,,,X
CAHIERS DE CIVILISATION MEDIEVALE,CAH CIVILIS MEDIEVAL,FRANCE,,,X,
CAHIERS DE DROIT,CAH DROIT,CANADA,,,,X
CAHIERS ELISABETHAINS,CAH ELISABETHAINS,FRANCE,,,X,
CAHIERS D ETUDES AFRICAINES,CAH ETUD AFR,FRANCE,,,,X
CAHIERS DES ETUDES ANCIENNES,CAH ETUDES ANC,CANADA,,,,X
CAHIERS D ETUDES DU RELIGIEUX-RECHERCHES INTERDISCIPLINAIRES,CAH ETUDES RELIG,FRANCE,,,,X
CAHIERS DU MONDE RUSSE,CAH MONDE RUSSE,FRANCE,,,X,
CAHIERS MONDES ANCIENS,CAH MONDES ANC,FRANCE,,,,X
CAHIERS DE NARRATOLOGIE,CAH NARRAT,FRANCE,,,,X
CAHIERS DE NUTRITION ET DE DIETETIQUE,CAH NUTR DIET,FRANCE,,,,X
CAHIERS VICTORIENS & EDOUARDIENS,CAH VICTOR EDOUARD,FRANCE,,,X,
CAIETELE ECHINOX,CAIET ECHINOX,ROMANIA,,,,X
CAILIAO GONGCHENG-JOURNAL OF MATERIALS ENGINEERING,CAILIAO GONGCHENG,PEOPLES R CHINA,,,,X
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,UNITED STATES,X,,,
CALCIFIED TISSUE INTERNATIONAL,CALCIFIED TISSUE INT,UNITED STATES,X,,,
CALCOLO,CALCOLO,ITALY,X,,,
CALDASIA,CALDASIA,COLOMBIA,X,,,
CALICO JOURNAL,CALICO J,UNITED STATES,,,,X
CALIDAD DE VIDA Y SALUD,CALID VIDA SALUD,ARGENTINA,,,,X
CALIFORNIA AGRICULTURE,CALIF AGR,UNITED STATES,X,,,
CALIFORNIA ARCHAEOLOGY,CALIF ARCHAOL,UNITED STATES,,,,X
CALIFORNIA FISH AND GAME,CALIF FISH GAME,UNITED STATES,X,,,
CALIFORNIA HISTORY,CALIF HIST,UNITED STATES,,,X,
CALIFORNIA LAW REVIEW,CALIF LAW REV,UNITED STATES,,X,,
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,UNITED STATES,,X,,
CALIGRAMA-REVISTA DE ESTUDOS ROMANICOS,CALIGRAMA,BRAZIL,,,,X
CALIOPE-JOURNAL OF THE SOCIETY FOR RENAISSANCE AND BAROQUE HISPANIC POETRY,CALIOPE-US,UNITED STATES,,,,X
CALLE 14-REVISTA DE INVESTIGACION EN EL CAMPO DEL ARTE,CALLE 14,COLOMBIA,,,,X
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,CALPHAD,ENGLAND,X,,,
CAMBRIDGE ARCHAEOLOGICAL JOURNAL,CAMB ARCHAEOL J,UNITED STATES,,,X,
CAMBRIDGE CLASSICAL JOURNAL,CAMB CLASS J,ENGLAND,,,X,
CAMBRIDGE INTERNATIONAL LAW JOURNAL,CAMB INT LAW J,ENGLAND,,,,X
CAMBRIDGE JOURNAL OF ANTHROPOLOGY,CAMB J ANTHROPOL,ENGLAND,,,,X
CAMBRIDGE JOURNAL OF ECONOMICS,CAMB J ECON,ENGLAND,,X,,
CAMBRIDGE JOURNAL OF EDUCATION,CAMB J EDUC,ENGLAND,,X,,
CAMBRIDGE JOURNAL OF MATHEMATICS,CAMB J MATH,UNITED STATES,X,,,
CAMBRIDGE JOURNAL OF POSTCOLONIAL LITERARY INQUIRY,CAMB J POSTCOLONIAL,UNITED STATES,,,X,
CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,CAMB J REG ECON SOC,ENGLAND,,X,,
CAMBRIDGE LAW JOURNAL,CAMB LAW J,ENGLAND,,X,,
CAMBRIDGE OPERA JOURNAL,CAMB OPERA J,ENGLAND,,,X,
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,CAMB Q HEALTHC ETHIC,UNITED STATES,X,X,,
CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS,CAMB REV INT AFF,ENGLAND,,X,,
CAMBIO-RIVISTA SULLE TRASFORMAZIONI SOCIALI,CAMBIO,ITALY,,,,X
CAMBRIAN MEDIEVAL CELTIC STUDIES,CAMBR MEDIEV CELT ST,ENGLAND,,,X,
CAMBRIDGE QUARTERLY,CAMBRIDGE QUART,ENGLAND,,,X,
CAMERA OBSCURA,CAMERA OBSCURA,UNITED STATES,,,X,
CAMINO REAL-ESTUDIOS DE LAS HISPANIDADES NORTEAMERICANAS,CAMINO REAL,SPAIN,,,,X
CAMPBELL SYSTEMATIC REVIEWS,CAMPBELL SYST REV,ENGLAND,,,,X
CAMPUS VIRTUALES,CAMPUS VIRTUALES,SPAIN,,,,X
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,CAN ASSOC RADIOL J,CANADA,X,,,
CANADIAN BULLETIN OF MEDICAL HISTORY,CAN BULL MED HIST,CANADA,,,,X
CANADIAN ENTOMOLOGIST,CAN ENTOMOL,CANADA,X,,,
CANADIAN ETHNIC STUDIES-ETUDES ETHNIQUES AU CANADA,CAN ETHN STUD,CANADA,,,,X
CANADIAN FAMILY PHYSICIAN,CAN FAM PHYSICIAN,CANADA,X,,,
CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,CAN GEOGR-GEOGR CAN,CANADA,,X,,
CANADIAN GEOTECHNICAL JOURNAL,CAN GEOTECH J,CANADA,X,,,
CANADIAN GERIATRICS JOURNAL,CAN GERIATR J,CANADA,,,,X
CANADIAN HISTORICAL REVIEW,CAN HIST REV,CANADA,,X,X,
CANADIAN JOURNAL OF ADDICTION,CAN J ADDICT,UNITED STATES,,,,X
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,CAN J ADM SCI,CANADA,,X,,
CANADIAN JOURNAL OF AFRICAN STUDIES,CAN J AFR STUDIES,CANADA,,,,X
CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,CAN J AGING,CANADA,,X,,
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,CAN J AGR ECON,CANADA,X,X,,
CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,CAN J ANESTH,CANADA,X,,,
CANADIAN JOURNAL OF ANIMAL SCIENCE,CAN J ANIM SCI,CANADA,X,,,
CANADIAN JOURNAL OF APPLIED LINGUISTICS,CAN J APPL LINGUIST,CANADA,,,,X
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CAN J BEHAV SCI,CANADA,,X,,
CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,CANADA,X,,,
CANADIAN JOURNAL OF CAREER DEVELOPMENT,CAN J CAREER DEV,CANADA,,,,X
CANADIAN JOURNAL OF CHEMISTRY,CAN J CHEM,CANADA,X,,,
CANADIAN JOURNAL OF CHEMICAL ENGINEERING,CAN J CHEM ENG,CANADA,X,,,
CANADIAN JOURNAL OF CIVIL ENGINEERING,CAN J CIVIL ENG,CANADA,X,,,
CANADIAN JOURNAL OF COMMUNICATION,CAN J COMMUN,CANADA,,,,X
CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE,CAN J CRIMINOL CRIM,CANADA,,X,,
CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT,CAN J DEV STUD,CANADA,,X,,
CANADIAN JOURNAL OF DIABETES,CAN J DIABETES,CANADA,X,,,
CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,CAN J DIET PRACT RES,CANADA,X,,,
CANADIAN JOURNAL OF EARTH SCIENCES,CAN J EARTH SCI,CANADA,X,,,
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,CAN J ECON,CANADA,,X,,
CANADIAN JOURNAL OF EDUCATIONAL ADMINISTRATION AND POLICY,CAN J EDUC ADM POLIC,CANADA,,,,X
CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,CAN J ELECT COMPUT E,CANADA,X,,,
CANADIAN JOURNAL OF EMERGENCY MEDICINE,CAN J EMERG MED,CANADA,X,,,
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,CAN J EXP PSYCHOL,CANADA,,X,,
CANADIAN JOURNAL OF FAMILY AND YOUTH,CAN J FAM YOUTH,CANADA,,,,X
CANADIAN JOURNAL OF FILM STUDIES-REVUE CANADIENNE D ETUDES CINEMATOGRAPHIQUES,CAN J FILM STUD,CANADA,,,X,
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,CAN J FISH AQUAT SCI,CANADA,X,,,
CANADIAN JOURNAL OF FOREST RESEARCH,CAN J FOREST RES,CANADA,X,,,
CANADIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,CAN J GASTROENTEROL,UNITED STATES,X,,,
CANADIAN JOURNAL OF HIGHER EDUCATION,CAN J HIGH EDUC,CANADA,,,,X
CANADIAN JOURNAL OF HISTORY-ANNALES CANADIENNES D HISTOIRE,CAN J HIST,CANADA,,,,X
CANADIAN JOURNAL OF HOSPITAL PHARMACY,CAN J HOSP PHARM,CANADA,,,,X
CANADIAN JOURNAL OF HUMAN SEXUALITY,CAN J HUM SEX,CANADA,,,,X
CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY,CAN J INFECT DIS MED,UNITED STATES,X,,,
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,CAN J INFORM LIB SCI,CANADA,,X,,
CANADIAN JOURNAL AMERICAN AND CARIBBEAN STUDIES,CAN J LAT AM CARIBB,CANADA,,,,X
CANADIAN JOURNAL OF LAW AND JURISPRUDENCE,CAN J LAW JURISD,CANADA,,,,X
CANADIAN JOURNAL OF LAW AND SOCIETY,CAN J LAW SOC,CANADA,,,,X
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE,CAN J LING/REV CAN L,ENGLAND,,,X,
CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,CAN J MATH,ENGLAND,X,,,
CANADIAN JOURNAL OF MICROBIOLOGY,CAN J MICROBIOL,CANADA,X,,,
CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,CAN J NEUROL SCI,UNITED STATES,X,,,
CANADIAN JOURNAL OF NONPROFIT AND SOCIAL ECONOMY RESEARCH,CAN J NONPROFIT SOC,CANADA,,,,X
CANADIAN JOURNAL OF NURSING RESEARCH,CAN J NURS RES,CANADA,,,,X
CANADIAN JOURNAL OF OCCUPATIONAL THERAPY-REVUE CANADIENNE D ERGOTHERAPIE,CAN J OCCUP THER,CANADA,X,X,,
CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,CAN J OPHTHALMOL,CANADA,X,,,
CANADIAN JOURNAL OF PAIN-REVUE CANADIENNE DE LA DOULEUR,CAN J PAIN,CANADA,,,,X
CANADIAN JOURNAL OF PHILOSOPHY,CAN J PHILOS,CANADA,,,X,
CANADIAN JOURNAL OF PHYSICS,CAN J PHYS,CANADA,X,,,
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,CAN J PHYSIOL PHARM,CANADA,X,,,
CANADIAN JOURNAL OF PLANT PATHOLOGY,CAN J PLANT PATHOL,CANADA,X,,,
CANADIAN JOURNAL OF PLANT SCIENCE,CAN J PLANT SCI,CANADA,X,,,
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,CAN J POLIT SCI,CANADA,,X,,
CANADIAN JOURNAL OF PROGRAM EVALUATION,CAN J PROGRAM EVAL,CANADA,,,,X
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,CAN J PSYCHIAT,CANADA,X,X,,
CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,CAN J PUBLIC HEALTH,UNITED STATES,,X,,
CANADIAN JOURNAL OF REMOTE SENSING,CAN J REMOTE SENS,CANADA,X,,,
CANADIAN JOURNAL OF RESPIRATORY CRITICAL CARE AND SLEEP MEDICINE,CAN J RESP CRIT CARE,CANADA,,,,X
CANADIAN JOURNAL OF RURAL MEDICINE,CAN J RURAL MED,INDIA,,,,X
CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,CAN J SCH PSYCHOL,CANADA,,X,,
CANADIAN JOURNAL FOR THE SCHOLARSHIP OF TEACHING AND LEARNING,CAN J SCHOLARSH TEA,CANADA,,,,X
CANADIAN JOURNAL OF SCIENCE MATHEMATICS AND TECHNOLOGY EDUCATION,CAN J SCI MATH TECHN,UNITED STATES,,,,X
CANADIAN JOURNAL OF SOCIOLOGY-CAHIERS CANADIENS DE SOCIOLOGIE,CAN J SOCIOL,CANADA,,X,,
CANADIAN JOURNAL OF SOIL SCIENCE,CAN J SOIL SCI,CANADA,X,,,
CANADIAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY AND AUDIOLOGY,CAN J SPEECH-LANG PA,CANADA,,,,X
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,CAN J STAT,CANADA,X,,,
CANADIAN JOURNAL FOR THE STUDY OF ADULT EDUCATION,CAN J STUDY ADULT ED,CANADA,,,,X
CANADIAN JOURNAL OF SURGERY,CAN J SURG,CANADA,X,,,
CANADIAN JOURNAL OF UROLOGY,CAN J UROL,CANADA,X,,,
CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE,CAN J VET RES,CANADA,X,,,
CANADIAN JOURNAL OF WOMEN AND THE LAW,CAN J WOMEN LAW,CANADA,,,,X
CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,CANADA,X,,,
CANADIAN LITERATURE,CAN LITERATURE,CANADA,,,X,
CANADIAN LIVER JOURNAL,CAN LIVER J,CANADA,,,,X
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,CAN MATH BULL,ENGLAND,X,,,
CANADIAN MEDICAL ASSOCIATION JOURNAL,CAN MED ASSOC J,CANADA,X,,,
CANADIAN METALLURGICAL QUARTERLY,CAN METALL QUART,CANADA,X,,,
CANADIAN MINERALOGIST,CAN MINERAL,CANADA,X,,,
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,CAN MOD LANG REV,CANADA,,X,,
CANADIAN PHARMACISTS JOURNAL,CAN PHARM J,CANADA,,,,X
CANADIAN POLITICAL SCIENCE REVIEW,CAN POLITICAL SCI RE,CANADA,,,,X
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,CAN PSYCHOL,CANADA,,X,,
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,CAN PUBLIC ADMIN,CANADA,,X,,
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,CAN PUBLIC POL,CANADA,,X,,
CANADIAN RESPIRATORY JOURNAL,CAN RESPIR J,UNITED STATES,X,,,
CANADIAN REVIEW OF AMERICAN STUDIES,CAN REV AM STUD,CANADA,,,X,
CANADIAN REVIEW OF COMPARATIVE LITERATURE-REVUE CANADIENNE DE LITTERATURE COMPAREE,CAN REV COMP LIT,CANADA,,,,X
CANADIAN REVIEW OF SOCIOLOGY-REVUE CANADIENNE DE SOCIOLOGIE,CAN REV SOCIOL,CANADA,,X,,
CANADIAN SLAVONIC PAPERS,CAN SLAVON PAP,CANADA,,,,X
CANADIAN SOCIETY OF FORENSIC SCIENCE JOURNAL,CAN SOC FORENSIC SCI,CANADA,,,,X
CANADIAN STUDIES IN POPULATION,CAN STUD POPUL,CANADA,,X,,
CANADIAN THEATRE REVIEW,CAN THEATRE REV,CANADA,,,X,
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,CAN VET J,CANADA,X,,,
CANADIAN WATER RESOURCES JOURNAL,CAN WATER RESOUR J,UNITED STATES,X,,,
CANADIAN FOREIGN POLICY,CANADIAN FOREIGN POL,CANADA,,,,X
CANCER BIOLOGY & MEDICINE,CANCER BIOL MED,PEOPLES R CHINA,X,,,
CANCER BIOLOGY & THERAPY,CANCER BIOL THER,UNITED STATES,X,,,
CANCER BIOMARKERS,CANCER BIOMARK,NETHERLANDS,X,,,
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,CANCER BIOTHER RADIO,UNITED STATES,X,,,
CANCER CAUSES & CONTROL,CANCER CAUSE CONTROL,NETHERLANDS,X,,,
CANCER CELL,CANCER CELL,UNITED STATES,X,,,
CANCER CELL INTERNATIONAL,CANCER CELL INT,ENGLAND,X,,,
CANCER CHEMOTHERAPY AND PHARMACOLOGY,CANCER CHEMOTH PHARM,UNITED STATES,X,,,
CANCER COMMUNICATIONS,CANCER COMMUN,PEOPLES R CHINA,X,,,
CANCER CONTROL,CANCER CONTROL,UNITED STATES,X,,,
CANCER CYTOPATHOLOGY,CANCER CYTOPATHOL,UNITED STATES,X,,,
CANCER DISCOVERY,CANCER DISCOV,UNITED STATES,X,,,
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,CANCER EPIDEM BIOMAR,UNITED STATES,X,,,
CANCER EPIDEMIOLOGY,CANCER EPIDEMIOL,ENGLAND,X,,,
CANCER GENE THERAPY,CANCER GENE THER,ENGLAND,X,,,
CANCER GENETICS,CANCER GENET-NY,UNITED STATES,X,,,
CANCER GENOMICS & PROTEOMICS,CANCER GENOM PROTEOM,GREECE,X,,,
CANCER IMAGING,CANCER IMAGING,ENGLAND,X,,,
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,UNITED STATES,X,,,
CANCER IMMUNOLOGY RESEARCH,CANCER IMMUNOL RES,UNITED STATES,X,,,
CANCER INFORMATICS,CANCER INFORM,ENGLAND,,,,X
CANCER INVESTIGATION,CANCER INVEST,UNITED STATES,X,,,
CANCER JOURNAL,CANCER J,UNITED STATES,X,,,
CANCER LETTERS,CANCER LETT,NETHERLANDS,X,,,
CANCER MANAGEMENT AND RESEARCH,CANCER MANAG RES,NEW ZEALAND,X,,,
CANCER MEDICINE,CANCER MED-US,UNITED STATES,X,,,
CANCER & METABOLISM,CANCER METAB,ENGLAND,X,,,
CANCER AND METASTASIS REVIEWS,CANCER METAST REV,UNITED STATES,X,,,
CANCER NANOTECHNOLOGY,CANCER NANOTECHNOL,AUSTRIA,X,,,
CANCER NURSING,CANCER NURS,UNITED STATES,X,X,,
CANCER PREVENTION RESEARCH,CANCER PREV RES,UNITED STATES,X,,,
CANCER RADIOTHERAPIE,CANCER RADIOTHER,FRANCE,X,,,
CANCER REPORTS,CANCER REP-US,UNITED STATES,,,,X
CANCER RESEARCH,CANCER RES,UNITED STATES,X,,,
CANCER RESEARCH AND TREATMENT,CANCER RES TREAT,SOUTH KOREA,X,,,
CANCER SCIENCE,CANCER SCI,JAPAN,X,,,
CANCER TREATMENT REVIEWS,CANCER TREAT REV,ENGLAND,X,,,
CANCER,CANCER-AM CANCER SOC,UNITED STATES,X,,,
CANCERS,CANCERS,SWITZERLAND,X,,,
CANDOLLEA,CANDOLLEA,SWITZERLAND,X,,,
CANNABIS AND CANNABINOID RESEARCH,CANNABIS CANNABINOID,UNITED STATES,X,,,
CAPITAL AND CLASS,CAP CL,UNITED STATES,,,,X
CAPITAL MARKETS LAW JOURNAL,CAP MARK LAW J,ENGLAND,,,,X
CAPITALE CULTURALE-STUDIES ON THE VALUE OF CULTURAL HERITAGE,CAPITAL CULT,ITALY,,,,X
CAPJOURNAL,CAPJOURNAL,PORTUGAL,,,,X
CAPLLETRA,CAPLLETRA,SPAIN,,,,X
CARACOL,CARACOL,BRAZIL,,,,X
CARAVELLE,CARAVELLE,FRANCE,,,X,
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,ENGLAND,X,,,
CARBOHYDRATE RESEARCH,CARBOHYD RES,NETHERLANDS,X,,,
CARBON,CARBON,UNITED STATES,X,,,
CARBON BALANCE AND MANAGEMENT,CARBON BAL MANAGE,ENGLAND,X,,,
CARBON ENERGY,CARBON ENERGY,PEOPLES R CHINA,X,,,
CARBON LETTERS,CARBON LETT,SOUTH KOREA,X,,,
CARBON MANAGEMENT,CARBON MANAG,ENGLAND,X,X,,
CARBONATES AND EVAPORITES,CARBONATE EVAPORITE,UNITED STATES,X,,,
CARCINOGENESIS,CARCINOGENESIS,ENGLAND,X,,,
CARDIOGENETICS,CARDIOGENETICS,SWITZERLAND,,,,X
CARDIOLOGY CLINICS,CARDIOL CLIN,UNITED STATES,X,,,
CARDIOLOGY JOURNAL,CARDIOL J,POLAND,X,,,
CARDIOLOGY RESEARCH,CARDIOL RES,CANADA,,,,X
CARDIOLOGY RESEARCH AND PRACTICE,CARDIOL RES PRACT,UNITED STATES,X,,,
CARDIOLOGY IN REVIEW,CARDIOL REV,UNITED STATES,X,,,
CARDIOLOGY AND THERAPY,CARDIOL THER,UNITED STATES,,,,X
CARDIOLOGY IN THE YOUNG,CARDIOL YOUNG,UNITED STATES,X,,,
CARDIOLOGY,CARDIOLOGY,SWITZERLAND,X,,,
CARDIOMETRY,CARDIOMETRY,RUSSIA,,,,X
CARDIO-ONCOLOGY,CARDIO-ONCOLOGY,ENGLAND,,,,X
CARDIORENAL MEDICINE,CARDIORENAL MED,SWITZERLAND,X,,,
CARDIOVASCULAR DIABETOLOGY,CARDIOVASC DIABETOL,ENGLAND,X,,,
CARDIOVASCULAR DIAGNOSIS AND THERAPY,CARDIOVASC DIAGN THE,PEOPLES R CHINA,X,,,
CARDIOVASCULAR DRUGS AND THERAPY,CARDIOVASC DRUG THER,UNITED STATES,X,,,
CARDIOVASCULAR ENDOCRINOLOGY & METABOLISM,CARDIOVASC ENDOCR ME,UNITED STATES,,,,X
CARDIOVASCULAR ENGINEERING AND TECHNOLOGY,CARDIOVASC ENG TECHN,UNITED STATES,X,,,
CARDIOVASCULAR INNOVATIONS AND APPLICATIONS,CARDIOVASC INNOV APP,IRELAND,,,,X
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,CARDIOVASC INTER RAD,UNITED STATES,X,,,
CARDIOVASCULAR INTERVENTION AND THERAPEUTICS,CARDIOVASC INTERV TH,JAPAN,,,,X
CARDIOVASCULAR JOURNAL OF AFRICA,CARDIOVASC J AFR,SOUTH AFRICA,X,,,
CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,UNITED STATES,X,,,
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,ENGLAND,X,,,
CARDIOVASCULAR REVASCULARIZATION MEDICINE,CARDIOVASC REVASCULA,UNITED STATES,,,,X
CARDIOVASCULAR THERAPEUTICS,CARDIOVASC THER,ENGLAND,X,,,
CARDIOVASCULAR TOXICOLOGY,CARDIOVASC TOXICOL,UNITED STATES,X,,,
CARDIOVASCULAR ULTRASOUND,CARDIOVASC ULTRASOUN,ENGLAND,X,,,
CAREER DEVELOPMENT INTERNATIONAL,CAREER DEV INT,ENGLAND,,X,,
CAREER DEVELOPMENT QUARTERLY,CAREER DEV Q,UNITED STATES,,X,,
CAREER DEVELOPMENT AND TRANSITION FOR EXCEPTIONAL INDIVIDUALS,CAREER DEV TRANSIT E,UNITED STATES,,X,,
CARIBBEAN JOURNAL OF SCIENCE,CARIBB J SCI,UNITED STATES,X,,,
CARIES RESEARCH,CARIES RES,SWITZERLAND,X,,,
CARNETS DE GEOLOGIE,CARNETS GEOL,FRANCE,X,,,
CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,CARPATH J EARTH ENV,ROMANIA,X,,,
CARPATHIAN JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,CARPATHIAN J FOOD SC,ROMANIA,,,,X
CARPATHIAN JOURNAL OF MATHEMATICS,CARPATHIAN J MATH,ROMANIA,X,,,
CARPATHIAN MATHEMATICAL PUBLICATIONS,CARPATHIAN MATH PUBL,UKRAINE,,,,X
CARTAGINE-STUDI E RICERCHE,CARTAGINE,ITALY,,,,X
CARTAPHILUS,CARTAPHILUS,SPAIN,,,,X
CARTE ROMANZE,CARTE ROMANZ,ITALY,,,,X
CARTILAGE,CARTILAGE,UNITED STATES,X,,,
CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE,CARTOGR GEOGR INF SC,ENGLAND,,X,,
CARTOGRAPHIC JOURNAL,CARTOGR J,ENGLAND,,X,,
CARTOGRAPHICA,CARTOGRAPHICA,CANADA,,,,X
CARYOLOGIA,CARYOLOGIA,ITALY,X,,,
CASOPIS ZA EKONOMIJU I TRZISNE KOMUNIKACIJE,CAS EKON TRZ KOMUN,BOSNIA & HERCEG,,,,X
CASOPIS ZA SUVREMENU POVIJEST,CAS SUVREM POVIJ,CROATIA,,,,X
CASE REPORTS IN CARDIOLOGY,CASE REP CARDIOL,UNITED STATES,,,,X
CASE REPORTS IN DENTISTRY,CASE REP DENT,UNITED STATES,,,,X
CASE REPORTS IN DERMATOLOGY,CASE REP DERMATOL,SWITZERLAND,,,,X
CASE REPORTS IN ENDOCRINOLOGY,CASE REP ENDOCRINOL,UNITED STATES,,,,X
CASE REPORTS IN GASTROENTEROLOGY,CASE REP GASTROENTER,SWITZERLAND,,,,X
CASE REPORTS IN GASTROINTESTINAL MEDICINE,CASE REP GASTROINTES,UNITED STATES,,,,X
CASE REPORTS IN HEMATOLOGY,CASE REP HEMATOL,UNITED STATES,,,,X
CASE REPORTS IN IMMUNOLOGY,CASE REP IMMUNOL,UNITED STATES,,,,X
CASE REPORTS IN INFECTIOUS DISEASES,CASE REP INFECT DIS,UNITED STATES,,,,X
CASE REPORTS IN MEDICINE,CASE REP MED,UNITED STATES,,,,X
CASE REPORTS IN NEPHROLOGY AND DIALYSIS,CASE REP NEPHROL DIA,SWITZERLAND,,,,X
CASE REPORTS IN NEUROLOGY,CASE REP NEUROL,SWITZERLAND,,,,X
CASE REPORTS IN NEUROLOGICAL MEDICINE,CASE REP NEUROL MED,UNITED STATES,,,,X
CASE REPORTS IN ONCOLOGY,CASE REP ONCOL,SWITZERLAND,,,,X
CASE REPORTS IN ONCOLOGICAL MEDICINE,CASE REP ONCOL MED,UNITED STATES,,,,X
